CODE,ACT240H1-F-20229-LEC-0101
CAP,160
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,3
1657560897,3
1657592482,3
1657598158,3
1657657520,6
1657659549,6
1657678570,6
1657700365,6
1657734871,8
1657736010,8
1657737663,8
1657744779,8
1657780708,8
1657815709,9
1657827433,9
1657841414,9
1657851506,9
1657853745,9
1657868013,9
1657911016,22
1657914736,22
1657938194,22
1657991875,22
1658011950,22
1658085371,22
1658086263,22
1658101142,22
1658101460,22
1658117879,22
1658120793,22
1658149259,22
1658163599,22
1658192570,22
1658255570,99
1658255771,99
1658265950,99
1658282790,99
1658284116,99
1658341001,101
1658425295,101
1658438086,101
1658446145,101
1658446771,101
1658459993,101
1658514122,109
1658536177,109
1658552496,109
1658614184,110
1658631640,110
1658698072,111
1658768579,109
1658788810,109
1658856123,110
1658878855,110
1658879061,110
1658965224,110
1659041771,110
1659049567,110
1659055044,110
