CODE,ANA301H1-S-20229-LEC-0101
CAP,500
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,62
1657659562,62
1657678580,62
1657700377,62
1657734892,66
1657736031,66
1657737680,66
1657744796,66
1657780717,66
1657815723,68
1657827444,68
1657841424,68
1657851524,68
1657853756,68
1657868023,68
1657911025,154
1657914749,154
1657938204,154
1657991885,157
1658011963,157
1658085387,157
1658086283,157
1658101152,157
1658101473,157
1658117893,157
1658120808,157
1658149282,157
1658163609,157
1658192584,157
1658255580,204
1658255781,204
1658265969,204
1658282799,204
1658284132,204
1658341011,206
1658425310,206
1658438101,206
1658446157,206
1658446785,206
1658460004,206
1658514131,208
1658536189,208
1658552506,208
1658614194,208
1658631652,208
1658698082,208
1658768591,208
1658788819,208
1658856132,208
1658878866,208
1658879072,208
1658965232,207
1659041782,209
1659049575,209
1659055055,209
