CODE,ANT364H1-S-20229-LEC-0101
CAP,60
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,1
1657560905,1
1657592491,1
1657598166,1
1657657537,12
1657659562,12
1657678580,12
1657700377,12
1657734892,12
1657736031,12
1657737680,12
1657744796,12
1657780717,12
1657815723,12
1657827444,12
1657841424,12
1657851524,12
1657853756,12
1657868023,12
1657911025,24
1657914749,24
1657938204,24
1657991885,24
1658011963,24
1658085387,24
1658086283,24
1658101152,24
1658101473,24
1658117893,24
1658120808,24
1658149282,26
1658163609,26
1658192584,26
1658255580,34
1658255781,34
1658265969,34
1658282799,34
1658284132,34
1658341011,34
1658425310,34
1658438101,34
1658446157,34
1658446785,34
1658460004,34
1658514131,34
