CODE,APM346H1-F-20229-LEC-0101
CAP,150
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,1
1657560897,1
1657592482,1
1657598158,1
1657657520,58
1657659549,58
1657678570,58
1657700365,58
1657734871,60
1657736010,60
1657737663,60
1657744779,60
1657780708,60
1657815709,60
1657827433,60
1657841414,60
1657851506,60
1657853745,60
1657868013,60
1657911016,155
1657914736,155
1657938194,155
1657991875,156
1658011950,156
1658085371,155
1658086263,155
1658101142,155
1658101460,155
1658117879,155
1658120793,155
1658149259,156
1658163599,156
1658192570,156
1658255570,165
1658255771,165
1658265950,165
1658282790,165
1658284116,165
1658341001,168
1658425295,170
1658438086,170
1658446145,170
1658446771,170
1658459993,170
1658514122,170
1658536177,170
1658552496,170
1658614184,170
1658631640,170
1658698072,171
1658768579,172
1658788810,172
1658856123,172
1658878855,172
1658879061,172
1658965224,173
1659041771,173
1659049567,173
1659055044,173
1659106101,172
1659116089,172
1659126296,172
1659137072,172
1659154611,172
1659160554,172
1659197509,170
1659228141,170
1659229848,170
1659252431,170
1659298084,172
