CODE,APM346H1-S-20229-LEC-0101,APM346H1-S-20229-LEC-5101
CAP,150,150
1656647697,0,0
1656655667,0,0
1656693731,0,0
1656799552,0,0
1657039041,0,0
1657124791,0,0
1657129909,0,0
1657154834,0,0
1657154935,0,0
1657157146,0,0
1657169433,0,0
1657171616,0,0
1657208573,0,0
1657224158,0,0
1657394896,0,0
1657522648,0,0
1657560905,0,0
1657592491,0,0
1657598166,0,0
1657657537,25,16
1657659562,25,16
1657678580,25,16
1657700377,25,16
1657734892,24,16
1657736031,24,16
1657737680,24,16
1657744796,24,16
1657780717,24,16
1657815723,25,17
1657827444,25,17
1657841424,25,17
1657851524,25,17
1657853756,25,17
1657868023,25,17
1657911025,97,84
1657914749,97,84
1657938204,97,84
1657991885,97,85
1658011963,97,85
1658085387,97,85
1658086283,97,85
1658101152,97,85
1658101473,97,85
1658117893,97,85
1658120808,97,85
1658149282,97,86
1658163609,97,86
1658192584,97,86
1658255580,115,105
1658255781,115,105
1658265969,115,105
1658282799,115,105
1658284132,115,105
1658341011,115,105
1658425310,115,108
1658438101,115,108
1658446157,115,108
1658446785,115,108
1658460004,115,108
1658514131,115,108
