CODE,APM462H1-S-20229-LEC-5101
CAP,188
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,1
1657560905,1
1657592491,1
1657598166,1
1657657537,76
1657659562,76
1657678580,76
1657700377,76
1657734892,78
1657736031,78
1657737680,78
1657744796,78
1657780717,78
1657815723,82
1657827444,82
1657841424,82
1657851524,82
1657853756,82
1657868023,82
1657911025,138
1657914749,138
1657938204,138
1657991885,140
1658011963,140
1658085387,140
1658086283,140
1658101152,140
1658101473,140
1658117893,140
1658120808,140
1658149282,140
1658163609,140
1658192584,140
1658255580,147
1658255781,147
1658265969,147
1658282799,147
1658284132,147
1658341011,149
1658425310,150
1658438101,150
1658446157,150
1658446785,150
1658460004,150
1658514131,150
1658536189,150
1658552506,150
1658614194,150
1658631652,150
1658698082,149
1658768591,149
1658788819,149
1658856132,149
1658878866,149
1658879072,149
1658965232,149
1659041782,150
1659049575,150
1659055055,150
