CODE,AST221H1-F-20229-LEC-0101
CAP,100
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,2
1657560897,2
1657592482,2
1657598158,2
1657657520,12
1657659549,12
1657678570,12
1657700365,12
1657734871,12
1657736010,12
1657737663,12
1657744779,12
1657780708,12
1657815709,13
1657827433,13
1657841414,13
1657851506,13
1657853745,13
1657868013,13
1657911016,33
1657914736,33
1657938194,33
1657991875,33
1658011950,33
1658085371,33
1658086263,33
1658101142,33
1658101460,33
1658117879,33
1658120793,33
1658149259,33
1658163599,33
1658192570,33
1658255570,112
1658255771,112
1658265950,112
1658282790,112
1658284116,112
1658341001,112
1658425295,112
1658438086,112
1658446145,112
1658446771,112
1658459993,112
1658514122,121
