CODE,AST251H1-S-20229-LEC-0101
CAP,500
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,3
1657560905,3
1657592491,3
1657598166,3
1657657537,192
1657659562,192
1657678580,192
1657700377,192
1657734892,194
1657736031,194
1657737680,194
1657744796,194
1657780717,194
1657815723,201
1657827444,201
1657841424,201
1657851524,201
1657853756,201
1657868023,201
1657911025,313
1657914749,313
1657938204,313
1657991885,318
1658011963,318
1658085387,319
1658086283,319
1658101152,319
1658101473,319
1658117893,319
1658120808,319
1658149282,322
1658163609,322
1658192584,322
1658255580,469
1658255781,469
1658265969,469
1658282799,469
1658284132,469
1658341011,475
1658425310,481
1658438101,481
1658446157,481
1658446785,481
1658460004,481
1658514131,543
