CODE,AST326Y1-Y-20229-LEC-0101
CAP,40
1656647691,0
1656655658,0
1656693725,0
1656799545,0
1657039032,0
1657124785,0
1657129902,0
1657154828,0
1657154929,0
1657157139,0
1657169427,0
1657171607,0
1657208567,0
1657224152,0
1657394890,0
1657522642,0
1657560899,0
1657592485,0
1657598160,0
1657657525,4
1657659552,4
1657678573,4
1657700368,4
1657734875,4
1657736016,4
1657737668,4
1657744785,4
1657780710,4
1657815712,4
1657827436,4
1657841417,4
1657851515,4
1657853748,4
1657868016,4
1657911019,22
1657914739,22
1657938197,22
1657991877,23
1658011954,23
1658085375,23
1658086268,23
1658101144,23
1658101464,23
1658117882,23
1658120797,23
1658149266,23
1658163601,23
1658192573,23
1658255573,22
1658255774,22
1658265957,22
1658282792,22
1658284123,22
1658341004,23
1658425299,23
1658438090,23
1658446148,23
1658446775,23
1658459996,23
1658514124,24
