CODE,BCB420H1-S-20229-LEC-0101
CAP,50
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,32
1657659562,32
1657678580,32
1657700377,32
1657734892,33
1657736031,33
1657737680,33
1657744796,33
1657780717,33
1657815723,33
1657827444,33
1657841424,33
1657851524,33
1657853756,33
1657868023,33
1657911025,40
1657914749,40
1657938204,40
1657991885,40
1658011963,40
1658085387,41
1658086283,41
1658101152,41
1658101473,41
1658117893,41
1658120808,41
1658149282,41
1658163609,41
1658192584,41
1658255580,41
1658255781,41
1658265969,41
1658282799,41
1658284132,41
1658341011,41
1658425310,42
1658438101,42
1658446157,42
1658446785,42
1658460004,42
1658514131,43
1658536189,43
1658552506,43
1658614194,44
1658631652,44
1658698082,44
1658768591,44
1658788819,44
1658856132,43
1658878866,43
1658879072,43
1658965232,43
1659041782,43
1659049575,43
1659055055,43
