CODE,BCH311H1-S-20229-LEC-0101
CAP,600
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,2
1657560905,2
1657592491,2
1657598166,2
1657657537,53
1657659562,53
1657678580,53
1657700377,53
1657734892,55
1657736031,55
1657737680,55
1657744796,55
1657780717,55
1657815723,57
1657827444,57
1657841424,57
1657851524,57
1657853756,57
1657868023,57
1657911025,376
1657914749,376
1657938204,376
1657991885,378
1658011963,378
1658085387,379
1658086283,379
1658101152,379
1658101473,379
1658117893,379
1658120808,379
1658149282,380
1658163609,380
1658192584,380
1658255580,526
1658255781,526
1658265969,526
1658282799,526
1658284132,526
1658341011,527
1658425310,529
1658438101,529
1658446157,529
1658446785,529
1658460004,529
1658514131,530
1658536189,530
1658552506,530
1658614194,531
1658631652,531
1658698082,532
1658768591,534
1658788819,534
1658856132,536
1658878866,536
1658879072,536
1658965232,535
1659041782,536
1659049575,536
1659055055,536
1659106110,535
1659116097,535
1659126308,535
1659137081,535
1659154622,535
1659160562,535
1659197518,530
1659228149,530
1659229856,530
1659252439,530
1659298092,530
