CODE,BCH422H1-F-20229-LEC-0101
CAP,65
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,29
1657659549,29
1657678570,29
1657700365,29
1657734871,30
1657736010,30
1657737663,30
1657744779,30
1657780708,30
1657815709,29
1657827433,29
1657841414,29
1657851506,29
1657853745,29
1657868013,29
1657911016,29
1657914736,29
1657938194,29
1657991875,29
1658011950,29
1658085371,29
1658086263,29
1658101142,29
1658101460,29
1658117879,29
1658120793,29
1658149259,29
1658163599,29
1658192570,29
1658255570,29
1658255771,29
1658265950,29
1658282790,29
1658284116,29
1658341001,29
1658425295,29
1658438086,29
1658446145,29
1658446771,29
1658459993,29
1658514122,29
1658536177,29
1658552496,29
1658614184,28
1658631640,28
1658698072,28
1658768579,28
1658788810,28
1658856123,27
1658878855,27
1658879061,27
