CODE,BIO130H1-S-20229-LEC-0101,BIO130H1-S-20229-LEC-2000,BIO130H1-S-20229-LEC-2002,BIO130H1-S-20229-LEC-5101
CAP,1314,10,50,400
1656647697,0,0,0,0
1656655667,0,0,0,0
1656693731,0,0,0,0
1656799552,0,0,0,0
1657039041,0,0,0,0
1657124791,0,0,0,0
1657129909,0,0,0,0
1657154834,0,0,0,0
1657154935,0,0,0,0
1657157146,0,0,0,0
1657169433,0,0,0,0
1657171616,0,0,0,0
1657208573,0,0,0,0
1657224158,0,0,0,0
1657394896,0,0,0,0
1657522648,2,0,0,0
1657560905,2,0,0,0
1657592491,2,0,0,0
1657598166,2,0,0,0
1657657537,2,0,0,0
1657659562,2,0,0,0
1657678580,2,0,0,0
1657700377,2,0,0,0
1657734892,2,0,0,0
1657736031,2,0,0,0
1657737680,2,0,0,0
1657744796,2,0,0,0
1657780717,2,0,0,0
1657815723,2,0,16,0
1657827444,2,0,16,0
1657841424,2,0,16,0
1657851524,2,0,16,0
1657853756,2,0,16,0
1657868023,2,0,16,0
1657911025,3,0,17,3
1657914749,3,0,17,3
1657938204,3,0,17,3
1657991885,3,0,17,3
1658011963,3,0,17,3
1658085387,3,0,17,3
1658086283,3,0,17,3
1658101152,3,0,17,3
1658101473,3,0,17,3
1658117893,3,0,17,3
1658120808,3,0,17,3
1658149282,3,0,17,4
1658163609,3,0,17,4
1658192584,3,0,17,4
1658255580,285,0,17,13
1658255781,285,0,17,13
1658265969,285,0,17,13
1658282799,285,0,17,13
1658284132,285,0,17,13
1658341011,303,0,17,13
1658425310,293,0,17,15
1658438101,293,0,17,15
1658446157,293,0,17,15
1658446785,293,0,17,15
1658460004,293,0,17,15
1658514131,1345,0,17,453
1658536189,1345,0,17,453
1658552506,1345,0,17,453
1658614194,1358,0,17,462
1658631652,1358,0,17,462
1658698082,1365,0,17,465
1658768591,1367,0,17,467
1658788819,1367,0,17,467
1658856132,1374,0,18,469
1658878866,1374,0,18,469
1658879072,1374,0,18,469
1658965232,1374,0,18,471
1659041782,1379,9,18,475
1659049575,1379,9,18,475
1659055055,1379,9,18,475
