CODE,BIO230H1-F-20229-LEC-0101,BIO230H1-F-20229-LEC-5101
CAP,1015,400
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,0,0
1657560897,0,0
1657592482,0,0
1657598158,0,0
1657657520,7,7
1657659549,7,7
1657678570,7,7
1657700365,7,7
1657734871,8,7
1657736010,8,7
1657737663,8,7
1657744779,8,7
1657780708,8,7
1657815709,8,7
1657827433,8,7
1657841414,8,7
1657851506,8,7
1657853745,8,7
1657868013,8,7
1657911016,73,48
1657914736,73,48
1657938194,73,48
1657991875,75,48
1658011950,75,48
1658085371,77,48
1658086263,77,48
1658101142,77,48
1658101460,77,48
1658117879,77,48
1658120793,77,48
1658149259,77,51
1658163599,77,51
1658192570,77,51
1658255570,1043,423
1658255771,1043,423
1658265950,1043,423
1658282790,1043,423
1658284116,1043,423
1658341001,1049,426
1658425295,1060,431
1658438086,1060,431
1658446145,1060,431
1658446771,1060,431
1658459993,1060,431
1658514122,1082,444
1658536177,1082,444
1658552496,1082,444
1658614184,1084,444
1658631640,1084,444
1658698072,1084,444
1658768579,1084,446
1658788810,1084,446
1658856123,1084,446
1658878855,1084,446
1658879061,1084,446
1658965224,1086,448
1659041771,1088,450
1659049567,1088,450
1659055044,1088,450
