CODE,BIO260H1-S-20229-LEC-0101
CAP,300
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,21
1657659562,21
1657678580,21
1657700377,21
1657734892,22
1657736031,22
1657737680,22
1657744796,22
1657780717,22
1657815723,23
1657827444,23
1657841424,23
1657851524,23
1657853756,23
1657868023,23
1657911025,109
1657914749,109
1657938204,109
1657991885,111
1658011963,111
1658085387,113
1658086283,113
1658101152,113
1658101473,113
1658117893,113
1658120808,113
1658149282,113
1658163609,113
1658192584,113
1658255580,381
1658255781,381
1658265969,381
1658282799,381
1658284132,381
1658341011,389
1658425310,390
1658438101,390
1658446157,390
1658446785,390
1658460004,390
1658514131,400
1658536189,400
1658552506,400
1658614194,398
1658631652,398
1658698082,397
1658768591,399
1658788819,399
1658856132,403
1658878866,403
1658879072,403
1658965232,408
1659041782,410
1659049575,410
1659055055,410
