CODE,BMS100H1-F-20229-LEC-0101
CAP,120
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,24
1657659549,24
1657678570,24
1657700365,24
1657734871,24
1657736010,24
1657737663,24
1657744779,24
1657780708,24
1657815709,25
1657827433,25
1657841414,25
1657851506,25
1657853745,25
1657868013,25
1657911016,46
1657914736,46
1657938194,46
1657991875,46
1658011950,46
1658085371,47
1658086263,47
1658101142,47
1658101460,47
1658117879,47
1658120793,47
1658149259,46
1658163599,46
1658192570,46
1658255570,168
1658255771,168
1658265950,168
1658282790,168
1658284116,168
1658341001,169
1658425295,169
1658438086,169
1658446145,169
1658446771,169
1658459993,169
1658514122,247
