CODE,BMS316H1-F-20229-LEC-0101
CAP,50
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,1
1657560897,1
1657592482,1
1657598158,1
1657657520,13
1657659549,13
1657678570,13
1657700365,13
1657734871,12
1657736010,12
1657737663,12
1657744779,12
1657780708,12
1657815709,12
1657827433,12
1657841414,12
1657851506,12
1657853745,12
1657868013,12
1657911016,41
1657914736,41
1657938194,41
1657991875,42
1658011950,42
1658085371,43
1658086263,43
1658101142,43
1658101460,43
1658117879,43
1658120793,43
1658149259,43
1658163599,43
1658192570,43
1658255570,62
1658255771,62
1658265950,62
1658282790,62
1658284116,62
1658341001,63
1658425295,63
1658438086,63
1658446145,63
1658446771,63
1658459993,63
1658514122,62
1658536177,62
1658552496,62
1658614184,62
1658631640,62
1658698072,62
1658768579,62
1658788810,62
1658856123,62
1658878855,62
1658879061,62
1658965224,62
1659041771,62
1659049567,62
1659055044,62
1659106101,61
1659116089,61
1659126296,61
1659137072,61
1659154611,61
1659160554,61
1659197509,71
1659228141,71
1659229848,71
1659252431,71
1659298084,72
