CODE,BMS319H1-S-20229-LEC-0101
CAP,68
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,19
1657659562,19
1657678580,19
1657700377,19
1657734892,20
1657736031,20
1657737680,20
1657744796,20
1657780717,20
1657815723,19
1657827444,19
1657841424,19
1657851524,19
1657853756,19
1657868023,19
1657911025,73
1657914749,73
1657938204,73
1657991885,73
1658011963,73
1658085387,74
1658086283,74
1658101152,74
1658101473,74
1658117893,74
1658120808,74
1658149282,74
1658163609,74
1658192584,74
1658255580,83
1658255781,83
1658265969,83
1658282799,83
1658284132,83
1658341011,84
1658425310,84
1658438101,84
1658446157,84
1658446785,84
1658460004,84
1658514131,84
1658536189,84
1658552506,84
1658614194,85
1658631652,85
1658698082,85
1658768591,85
1658788819,85
1658856132,85
1658878866,85
1658879072,85
1658965232,85
1659041782,85
1659049575,85
1659055055,85
1659106110,85
1659116097,85
1659126308,85
1659137081,85
1659154622,85
1659160562,85
1659197518,89
1659228149,89
1659229856,89
1659252439,89
1659298092,90
