CODE,BPM214H1-F-20229-LEC-0101
CAP,75
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,35
1657659549,35
1657678570,35
1657700365,35
1657734871,35
1657736010,35
1657737663,35
1657744779,35
1657780708,35
1657815709,36
1657827433,36
1657841414,36
1657851506,36
1657853745,36
1657868013,36
1657911016,66
1657914736,66
1657938194,66
1657991875,68
1658011950,68
1658085371,70
1658086263,70
1658101142,70
1658101460,70
1658117879,70
1658120793,70
1658149259,72
1658163599,72
1658192570,72
1658255570,102
1658255771,102
1658265950,102
1658282790,102
1658284116,102
1658341001,100
1658425295,99
1658438086,99
1658446145,99
1658446771,99
1658459993,99
1658514122,101
1658536177,101
1658552496,101
1658614184,102
1658631640,102
1658698072,102
1658768579,102
1658788810,102
1658856123,102
1658878855,102
1658879061,102
