CODE,BPM232H1-F-20229-LEC-5101
CAP,220
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,57
1657659549,57
1657678570,57
1657700365,57
1657734871,58
1657736010,58
1657737663,58
1657744779,58
1657780708,58
1657815709,58
1657827433,58
1657841414,58
1657851506,58
1657853745,58
1657868013,58
1657911016,102
1657914736,102
1657938194,102
1657991875,103
1658011950,103
1658085371,105
1658086263,105
1658101142,105
1658101460,105
1658117879,105
1658120793,105
1658149259,108
1658163599,108
1658192570,108
1658255570,187
1658255771,187
1658265950,187
1658282790,187
1658284116,187
1658341001,197
1658425295,201
1658438086,201
1658446145,201
1658446771,201
1658459993,201
1658514122,243
1658536177,243
1658552496,243
1658614184,243
1658631640,243
1658698072,245
1658768579,246
1658788810,246
1658856123,247
1658878855,247
1658879061,247
1658965224,249
1659041771,251
1659049567,251
1659055044,251
