CODE,CHM135H1-F-20229-LEC-0101,CHM135H1-F-20229-LEC-0201,CHM135H1-F-20229-LEC-0301,CHM135H1-F-20229-LEC-5101
CAP,500,500,500,180
1656647689,0,0,0,0
1656655656,0,0,0,0
1656693722,0,0,0,0
1656799543,0,0,0,0
1657039029,0,0,0,0
1657124783,0,0,0,0
1657129900,0,0,0,0
1657154826,0,0,0,0
1657154927,0,0,0,0
1657157137,0,0,0,0
1657169424,0,0,0,0
1657171604,0,0,0,0
1657208564,0,0,0,0
1657224150,0,0,0,0
1657394888,0,0,0,0
1657522639,1,0,0,0
1657560897,1,0,0,0
1657592482,1,0,0,0
1657598158,1,0,0,0
1657657520,1,0,0,0
1657659549,1,0,0,0
1657678570,1,0,0,0
1657700365,1,0,0,0
1657734871,1,0,0,0
1657736010,1,0,0,0
1657737663,1,0,0,0
1657744779,1,0,0,0
1657780708,1,0,0,0
1657815709,1,0,0,0
1657827433,1,0,0,0
1657841414,1,0,0,0
1657851506,1,0,0,0
1657853745,1,0,0,0
1657868013,1,0,0,0
1657911016,1,1,0,0
1657914736,1,1,0,0
1657938194,1,1,0,0
1657991875,1,1,0,0
1658011950,1,1,0,0
1658085371,1,1,0,0
1658086263,1,1,0,0
1658101142,1,1,0,0
1658101460,1,1,0,0
1658117879,1,1,0,0
1658120793,1,1,0,0
1658149259,2,1,0,0
1658163599,2,1,0,0
1658192570,2,1,0,0
1658255570,9,263,28,1
1658255771,9,263,28,1
1658265950,9,263,28,1
1658282790,9,263,28,1
1658284116,9,263,28,1
1658341001,9,250,36,1
1658425295,9,245,30,1
1658438086,9,245,30,1
1658446145,9,245,30,1
1658446771,9,245,30,1
1658459993,9,245,30,1
1658514122,533,521,536,119
