CODE,CHM247H1-S-20229-LEC-0101,CHM247H1-S-20229-LEC-0201
CAP,250,200
1656647697,0,0
1656655667,0,0
1656693731,0,0
1656799552,0,0
1657039041,0,0
1657124791,0,0
1657129909,0,0
1657154834,0,0
1657154935,0,0
1657157146,0,0
1657169433,0,0
1657171616,0,0
1657208573,0,0
1657224158,0,0
1657394896,0,0
1657522648,0,0
1657560905,0,0
1657592491,0,0
1657598166,0,0
1657657537,15,7
1657659562,15,7
1657678580,15,7
1657700377,15,7
1657734892,16,7
1657736031,16,7
1657737680,16,7
1657744796,16,7
1657780717,16,7
1657815723,15,7
1657827444,15,7
1657841424,15,7
1657851524,15,7
1657853756,15,7
1657868023,15,7
1657911025,58,32
1657914749,58,32
1657938204,58,32
1657991885,57,34
1658011963,57,34
1658085387,57,34
1658086283,57,34
1658101152,57,34
1658101473,57,34
1658117893,57,34
1658120808,57,34
1658149282,56,36
1658163609,56,36
1658192584,56,36
1658255580,239,241
1658255781,239,241
1658265969,239,241
1658282799,239,241
1658284132,239,241
1658341011,241,243
1658425310,243,245
1658438101,243,245
1658446157,243,245
1658446785,243,245
1658460004,243,245
1658514131,248,243
1658536189,248,243
1658552506,248,243
1658614194,252,243
1658631652,252,243
1658698082,252,243
1658768591,252,243
1658788819,252,243
1658856132,244,255
1658878866,244,255
1658879072,244,255
1658965232,244,255
1659041782,245,256
1659049575,245,256
1659055055,245,256
1659106110,241,257
1659116097,241,257
1659126308,241,257
1659137081,241,257
1659154622,241,257
1659160562,241,257
1659197518,237,261
1659228149,237,261
1659229856,237,261
1659252439,237,261
1659298092,238,262
