CODE,CHM328H1-S-20229-LEC-0101
CAP,28
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,2
1657560905,2
1657592491,2
1657598166,2
1657657537,9
1657659562,9
1657678580,9
1657700377,9
1657734892,10
1657736031,10
1657737680,10
1657744796,10
1657780717,10
1657815723,10
1657827444,10
1657841424,10
1657851524,10
1657853756,10
1657868023,10
1657911025,18
1657914749,18
1657938204,18
1657991885,19
1658011963,19
1658085387,20
1658086283,20
1658101152,20
1658101473,20
1658117893,20
1658120808,20
1658149282,20
1658163609,20
1658192584,20
1658255580,21
1658255781,21
1658265969,21
1658282799,21
1658284132,21
1658341011,21
1658425310,22
1658438101,22
1658446157,22
1658446785,22
1658460004,22
1658514131,22
1658536189,22
1658552506,22
1658614194,22
1658631652,22
1658698082,22
1658768591,22
1658788819,22
1658856132,22
1658878866,22
1658879072,22
1658965232,21
1659041782,21
1659049575,21
1659055055,21
1659106110,21
1659116097,21
1659126308,21
1659137081,21
1659154622,21
1659160562,21
1659197518,22
1659228149,22
1659229856,22
1659252439,22
1659298092,22
