CODE,CHM338H1-F-20229-LEC-0101
CAP,40
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,2
1657560897,2
1657592482,2
1657598158,2
1657657520,16
1657659549,16
1657678570,16
1657700365,16
1657734871,17
1657736010,17
1657737663,17
1657744779,17
1657780708,17
1657815709,17
1657827433,17
1657841414,17
1657851506,17
1657853745,17
1657868013,17
1657911016,41
1657914736,41
1657938194,41
1657991875,43
1658011950,43
1658085371,43
1658086263,43
1658101142,43
1658101460,43
1658117879,43
1658120793,43
1658149259,43
1658163599,43
1658192570,43
1658255570,43
1658255771,43
1658265950,43
1658282790,43
1658284116,43
1658341001,43
1658425295,43
1658438086,43
1658446145,43
1658446771,43
1658459993,43
1658514122,43
