CODE,CHM456H1-F-20229-LEC-0101,CHM456H1-F-20229-LEC-2001
CAP,30,5
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,0,0
1657560897,0,0
1657592482,0,0
1657598158,0,0
1657657520,8,0
1657659549,8,0
1657678570,8,0
1657700365,8,0
1657734871,8,0
1657736010,8,0
1657737663,8,0
1657744779,8,0
1657780708,8,0
1657815709,8,2
1657827433,8,2
1657841414,8,2
1657851506,8,2
1657853745,8,2
1657868013,8,2
1657911016,12,2
1657914736,12,2
1657938194,12,2
1657991875,12,2
1658011950,12,2
1658085371,11,2
1658086263,11,2
1658101142,11,2
1658101460,11,2
1658117879,11,2
1658120793,11,2
1658149259,11,2
1658163599,11,2
1658192570,11,2
1658255570,11,2
1658255771,11,2
1658265950,11,2
1658282790,11,2
1658284116,11,2
1658341001,11,2
1658425295,11,2
1658438086,11,2
1658446145,11,2
1658446771,11,2
1658459993,11,2
1658514122,11,2
