CODE,CIN213H1-F-20229-LEC-0101
CAP,200
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,7
1657560897,7
1657592482,7
1657598158,7
1657657520,38
1657659549,38
1657678570,38
1657700365,38
1657734871,38
1657736010,38
1657737663,38
1657744779,38
1657780708,38
1657815709,39
1657827433,39
1657841414,39
1657851506,39
1657853745,39
1657868013,39
1657911016,61
1657914736,61
1657938194,61
1657991875,62
1658011950,62
1658085371,62
1658086263,62
1658101142,62
1658101460,62
1658117879,62
1658120793,62
1658149259,63
1658163599,63
1658192570,63
1658255570,122
1658255771,122
1658265950,122
1658282790,122
1658284116,122
1658341001,124
1658425295,125
1658438086,125
1658446145,125
1658446771,125
1658459993,125
1658514122,146
1658536177,146
1658552496,146
1658614184,149
1658631640,149
1658698072,149
1658768579,149
1658788810,149
1658856123,152
1658878855,152
1658879061,152
1658965224,152
1659041771,150
1659049567,150
1659055044,150
1659106101,148
1659116089,148
1659126296,148
1659137072,148
1659154611,148
1659160554,148
1659197509,148
1659228141,148
1659229848,148
1659252431,148
1659298084,150
