CODE,CIN320H1-S-20229-LEC-0101
CAP,40
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,11
1657659562,11
1657678580,11
1657700377,11
1657734892,10
1657736031,10
1657737680,10
1657744796,10
1657780717,10
1657815723,10
1657827444,10
1657841424,10
1657851524,10
1657853756,10
1657868023,10
1657911025,27
1657914749,27
1657938204,27
1657991885,27
1658011963,27
1658085387,28
1658086283,28
1658101152,28
1658101473,28
1658117893,28
1658120808,28
1658149282,28
1658163609,28
1658192584,28
1658255580,34
1658255781,34
1658265969,34
1658282799,34
1658284132,34
1658341011,33
1658425310,34
1658438101,34
1658446157,34
1658446785,34
1658460004,34
1658514131,34
