CODE,CLA204H1-S-20229-LEC-2501,CLA204H1-S-20229-LEC-5101
CAP,60,240
1656647697,0,0
1656655667,0,0
1656693731,0,0
1656799552,0,0
1657039041,0,0
1657124791,0,0
1657129909,0,0
1657154834,0,0
1657154935,0,0
1657157146,0,0
1657169433,0,0
1657171616,0,0
1657208573,0,0
1657224158,0,0
1657394896,0,0
1657522648,0,1
1657560905,0,1
1657592491,0,1
1657598166,0,1
1657657537,0,62
1657659562,0,62
1657678580,0,62
1657700377,0,62
1657734892,0,63
1657736031,0,63
1657737680,0,63
1657744796,0,63
1657780717,0,63
1657815723,77,66
1657827444,77,66
1657841424,77,66
1657851524,77,66
1657853756,77,66
1657868023,77,66
1657911025,78,113
1657914749,78,113
1657938204,78,113
1657991885,79,115
1658011963,79,115
1658085387,79,117
1658086283,79,117
1658101152,79,117
1658101473,79,117
1658117893,79,117
1658120808,79,117
1658149282,80,120
1658163609,80,120
1658192584,80,120
1658255580,81,254
1658255781,81,254
1658265969,81,254
1658282799,81,254
1658284132,81,254
1658341011,81,257
1658425310,81,258
1658438101,81,258
1658446157,81,258
1658446785,81,258
1658460004,81,258
1658514131,81,295
