CODE,CLA319H1-F-20229-LEC-0101
CAP,30
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,1
1657560897,1
1657592482,1
1657598158,1
1657657520,6
1657659549,6
1657678570,6
1657700365,6
1657734871,6
1657736010,6
1657737663,6
1657744779,6
1657780708,6
1657815709,7
1657827433,7
1657841414,7
1657851506,7
1657853745,7
1657868013,7
1657911016,19
1657914736,19
1657938194,19
1657991875,19
1658011950,19
1658085371,20
1658086263,20
1658101142,20
1658101460,20
1658117879,20
1658120793,20
1658149259,20
1658163599,20
1658192570,20
1658255570,26
1658255771,26
1658265950,26
1658282790,26
1658284116,26
1658341001,26
1658425295,26
1658438086,26
1658446145,26
1658446771,26
1658459993,26
1658514122,26
1658536177,26
1658552496,26
1658614184,26
1658631640,26
1658698072,27
1658768579,27
1658788810,27
1658856123,27
1658878855,27
1658879061,27
1658965224,27
1659041771,26
1659049567,26
1659055044,26
1659106101,25
1659116089,25
1659126296,25
1659137072,25
1659154611,25
1659160554,25
1659197509,25
1659228141,25
1659229848,25
1659252431,25
1659298084,25
