CODE,CLT252H1-S-20229-LEC-0101
CAP,15
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,0
1657659562,0
1657678580,0
1657700377,0
1657734892,0
1657736031,0
1657737680,0
1657744796,0
1657780717,0
1657815723,0
1657827444,0
1657841424,0
1657851524,0
1657853756,0
1657868023,0
1657911025,1
1657914749,1
1657938204,1
1657991885,0
1658011963,0
1658085387,0
1658086283,0
1658101152,0
1658101473,0
1658117893,0
1658120808,0
1658149282,0
1658163609,0
1658192584,0
1658255580,2
1658255781,2
1658265969,2
1658282799,2
1658284132,2
1658341011,2
1658425310,2
1658438101,2
1658446157,2
1658446785,2
1658460004,2
1658514131,2
1658536189,2
1658552506,2
1658614194,2
1658631652,2
1658698082,2
1658768591,2
1658788819,2
1658856132,2
1658878866,2
1658879072,2
1658965232,2
1659041782,2
1659049575,2
1659055055,2
