CODE,CLT350H1-F-20229-LEC-0101
CAP,40
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,7
1657659549,7
1657678570,7
1657700365,7
1657734871,8
1657736010,8
1657737663,8
1657744779,8
1657780708,8
1657815709,8
1657827433,8
1657841414,8
1657851506,8
1657853745,8
1657868013,8
1657911016,13
1657914736,13
1657938194,13
1657991875,13
1658011950,13
1658085371,13
1658086263,13
1658101142,13
1658101460,13
1658117879,13
1658120793,13
1658149259,13
1658163599,13
1658192570,13
1658255570,19
1658255771,19
1658265950,19
1658282790,19
1658284116,19
1658341001,18
1658425295,19
1658438086,19
1658446145,19
1658446771,19
1658459993,19
1658514122,19
1658536177,19
1658552496,19
1658614184,20
1658631640,20
1658698072,20
1658768579,20
1658788810,20
1658856123,20
1658878855,20
1658879061,20
