CODE,COG403H1-S-20229-LEC-0101
CAP,30
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,40
1657659562,40
1657678580,40
1657700377,40
1657734892,42
1657736031,42
1657737680,42
1657744796,42
1657780717,42
1657815723,41
1657827444,41
1657841424,41
1657851524,41
1657853756,41
1657868023,41
1657911025,46
1657914749,46
1657938204,46
1657991885,46
1658011963,46
1658085387,46
1658086283,46
1658101152,46
1658101473,46
1658117893,46
1658120808,46
1658149282,46
1658163609,46
1658192584,46
1658255580,46
1658255781,46
1658265969,46
1658282799,46
1658284132,46
1658341011,47
1658425310,47
1658438101,47
1658446157,47
1658446785,47
1658460004,47
1658514131,47
1658536189,47
1658552506,47
1658614194,46
1658631652,46
1658698082,46
1658768591,46
1658788819,46
1658856132,45
1658878866,45
1658879072,45
1658965232,45
1659041782,45
1659049575,45
1659055055,45
1659106110,45
1659116097,45
1659126308,45
1659137081,45
1659154622,45
1659160562,45
1659197518,45
1659228149,45
1659229856,45
1659252439,45
1659298092,46
