CODE,CRE335H1-S-20229-LEC-5101
CAP,35
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,7
1657659562,7
1657678580,7
1657700377,7
1657734892,7
1657736031,7
1657737680,7
1657744796,7
1657780717,7
1657815723,7
1657827444,7
1657841424,7
1657851524,7
1657853756,7
1657868023,7
1657911025,15
1657914749,15
1657938204,15
1657991885,14
1658011963,14
1658085387,14
1658086283,14
1658101152,14
1658101473,14
1658117893,14
1658120808,14
1658149282,14
1658163609,14
1658192584,14
1658255580,23
1658255781,23
1658265969,23
1658282799,23
1658284132,23
1658341011,22
1658425310,22
1658438101,22
1658446157,22
1658446785,22
1658460004,22
1658514131,22
1658536189,22
1658552506,22
1658614194,22
1658631652,22
1658698082,22
1658768591,22
1658788819,22
1658856132,22
1658878866,22
1658879072,22
1658965232,23
1659041782,22
1659049575,22
1659055055,22
