CODE,CRI322H1-S-20229-LEC-0101
CAP,65
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,28
1657659562,28
1657678580,28
1657700377,28
1657734892,29
1657736031,29
1657737680,29
1657744796,29
1657780717,29
1657815723,29
1657827444,29
1657841424,29
1657851524,29
1657853756,29
1657868023,29
1657911025,88
1657914749,88
1657938204,88
1657991885,86
1658011963,86
1658085387,86
1658086283,86
1658101152,86
1658101473,86
1658117893,86
1658120808,86
1658149282,87
1658163609,87
1658192584,87
1658255580,94
1658255781,94
1658265969,94
1658282799,94
1658284132,94
1658341011,95
1658425310,94
1658438101,94
1658446157,94
1658446785,94
1658460004,94
1658514131,95
1658536189,95
1658552506,95
1658614194,95
1658631652,95
1658698082,95
1658768591,95
1658788819,95
1658856132,95
1658878866,95
1658879072,95
