CODE,CRI350H1-F-20229-LEC-0101
CAP,100
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,59
1657659549,59
1657678570,59
1657700365,59
1657734871,61
1657736010,61
1657737663,61
1657744779,61
1657780708,61
1657815709,62
1657827433,62
1657841414,62
1657851506,62
1657853745,62
1657868013,62
1657911016,123
1657914736,123
1657938194,123
1657991875,123
1658011950,123
1658085371,123
1658086263,123
1658101142,123
1658101460,123
1658117879,123
1658120793,123
1658149259,123
1658163599,123
1658192570,123
1658255570,126
1658255771,126
1658265950,126
1658282790,126
1658284116,126
1658341001,125
1658425295,124
1658438086,124
1658446145,124
1658446771,124
1658459993,124
1658514122,124
1658536177,124
1658552496,124
1658614184,123
1658631640,123
1658698072,123
1658768579,123
1658788810,123
1658856123,124
1658878855,124
1658879061,124
1658965224,124
1659041771,124
1659049567,124
1659055044,124
