CODE,CSB349H1-F-20229-LEC-0101
CAP,360
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,93
1657659549,93
1657678570,93
1657700365,93
1657734871,96
1657736010,96
1657737663,96
1657744779,96
1657780708,96
1657815709,97
1657827433,97
1657841414,97
1657851506,97
1657853745,97
1657868013,97
1657911016,291
1657914736,291
1657938194,291
1657991875,293
1658011950,293
1658085371,293
1658086263,293
1658101142,293
1658101460,293
1658117879,293
1658120793,293
1658149259,293
1658163599,293
1658192570,293
1658255570,312
1658255771,312
1658265950,312
1658282790,312
1658284116,312
1658341001,314
1658425295,315
1658438086,315
1658446145,315
1658446771,315
1658459993,315
1658514122,316
1658536177,316
1658552496,316
1658614184,317
1658631640,317
1658698072,317
1658768579,319
1658788810,319
1658856123,318
1658878855,318
1658879061,318
