CODE,CSB435H1-S-20229-LEC-0101,CSB435H1-S-20229-LEC-2001
CAP,19,5
1656647697,0,0
1656655667,0,0
1656693731,0,0
1656799552,0,0
1657039041,0,0
1657124791,0,0
1657129909,0,0
1657154834,0,0
1657154935,0,0
1657157146,0,0
1657169433,0,0
1657171616,0,0
1657208573,0,0
1657224158,0,0
1657394896,0,0
1657522648,0,2
1657560905,0,2
1657592491,0,2
1657598166,0,2
1657657537,21,2
1657659562,21,2
1657678580,21,2
1657700377,21,2
1657734892,21,1
1657736031,21,1
1657737680,21,1
1657744796,21,1
1657780717,21,1
1657815723,22,1
1657827444,22,1
1657841424,22,1
1657851524,22,1
1657853756,22,1
1657868023,22,1
1657911025,24,1
1657914749,24,1
1657938204,24,1
1657991885,24,1
1658011963,24,1
1658085387,24,1
1658086283,24,1
1658101152,24,1
1658101473,24,1
1658117893,24,1
1658120808,24,1
1658149282,23,1
1658163609,23,1
1658192584,23,1
1658255580,23,1
1658255781,23,1
1658265969,23,1
1658282799,23,1
1658284132,23,1
1658341011,23,1
1658425310,23,1
1658438101,23,1
1658446157,23,1
1658446785,23,1
1658460004,23,1
1658514131,23,1
1658536189,23,1
1658552506,23,1
1658614194,23,1
1658631652,23,1
1658698082,23,1
1658768591,23,1
1658788819,23,1
1658856132,23,1
1658878866,23,1
1658879072,23,1
1658965232,23,1
1659041782,22,1
1659049575,22,1
1659055055,22,1
