CODE,CSB450H1-F-20229-LEC-0101,CSB450H1-F-20229-LEC-2001
CAP,27,3
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,0,1
1657560897,0,1
1657592482,0,1
1657598158,0,1
1657657520,42,1
1657659549,42,1
1657678570,42,1
1657700365,42,1
1657734871,41,1
1657736010,41,1
1657737663,41,1
1657744779,41,1
1657780708,41,1
1657815709,41,2
1657827433,41,2
1657841414,41,2
1657851506,41,2
1657853745,41,2
1657868013,41,2
1657911016,45,2
1657914736,45,2
1657938194,45,2
1657991875,46,2
1658011950,46,2
1658085371,46,2
1658086263,46,2
1658101142,46,2
1658101460,46,2
1658117879,46,2
1658120793,46,2
1658149259,45,2
1658163599,45,2
1658192570,45,2
1658255570,44,2
1658255771,44,2
1658265950,44,2
1658282790,44,2
1658284116,44,2
1658341001,41,2
1658425295,42,2
1658438086,42,2
1658446145,42,2
1658446771,42,2
1658459993,42,2
1658514122,42,2
