CODE,CSC108H1-S-20229-LEC-0101,CSC108H1-S-20229-LEC-0201,CSC108H1-S-20229-LEC-0301,CSC108H1-S-20229-LEC-0302,CSC108H1-S-20229-LEC-5101
CAP,196,196,234,234,200
1656647697,0,0,0,0,0
1656655667,0,0,0,0,0
1656693731,0,0,0,0,0
1656799552,0,0,0,0,0
1657039041,0,0,0,0,0
1657124791,0,0,0,0,0
1657129909,0,0,0,0,0
1657154834,0,0,0,0,0
1657154935,0,0,0,0,0
1657157146,0,0,0,0,0
1657169433,0,0,0,0,0
1657171616,0,0,0,0,0
1657208573,0,0,0,0,0
1657224158,0,0,0,0,0
1657394896,0,0,0,0,0
1657522648,0,0,0,0,0
1657560905,0,0,0,0,0
1657592491,0,0,0,0,0
1657598166,0,0,0,0,0
1657657537,5,4,3,0,12
1657659562,5,4,3,0,12
1657678580,5,4,3,0,12
1657700377,5,4,3,0,12
1657734892,6,5,3,0,13
1657736031,6,5,3,0,13
1657737680,6,5,3,0,13
1657744796,6,5,3,0,13
1657780717,6,5,3,0,13
1657815723,6,5,3,0,13
1657827444,6,5,3,0,13
1657841424,6,5,3,0,13
1657851524,6,5,3,0,13
1657853756,6,5,3,0,13
1657868023,6,5,3,0,13
1657911025,16,14,4,1,24
1657914749,16,14,4,1,24
1657938204,16,14,4,1,24
1657991885,16,14,4,1,24
1658011963,16,14,4,1,24
1658085387,16,14,4,1,24
1658086283,16,14,4,1,24
1658101152,16,14,4,1,24
1658101473,16,14,4,1,24
1658117893,16,14,4,1,24
1658120808,16,14,4,1,24
1658149282,17,14,4,1,24
1658163609,17,14,4,1,24
1658192584,17,14,4,1,24
1658255580,46,31,22,5,46
1658255781,46,31,22,5,46
1658265969,46,31,22,5,46
1658282799,46,31,22,5,46
1658284132,46,31,22,5,46
1658341011,46,32,22,5,45
1658425310,46,32,22,5,45
1658438101,46,32,22,5,45
1658446157,46,32,22,5,45
1658446785,46,32,22,5,45
1658460004,46,32,22,5,45
1658514131,167,183,231,65,132
1658536189,167,183,231,65,132
1658552506,167,183,231,65,132
1658614194,167,184,233,71,131
1658631652,167,184,233,71,131
1658698082,170,187,233,71,134
1658768591,169,187,235,73,132
1658788819,169,187,235,73,132
1658856132,171,190,234,74,135
1658878866,171,190,234,74,135
1658879072,171,190,234,74,135
1658965232,171,190,234,75,136
1659041782,174,191,234,77,136
1659049575,174,191,234,77,136
1659055055,174,191,234,77,136
1659106110,174,191,234,76,135
1659116097,174,191,234,76,135
1659126308,174,191,234,76,135
1659137081,174,191,234,76,135
1659154622,174,191,234,76,135
1659160562,174,191,234,76,135
1659197518,207,212,234,156,215
1659228149,207,212,234,156,215
1659229856,207,212,234,156,215
1659252439,207,212,234,156,215
1659298092,207,215,234,165,220
