CODE,CSC110Y1-F-20229-LEC-0101,CSC110Y1-F-20229-LEC-0201
CAP,200,200
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,0,0
1657560897,0,0
1657592482,0,0
1657598158,0,0
1657657520,0,0
1657659549,0,0
1657678570,0,0
1657700365,0,0
1657734871,0,0
1657736010,0,0
1657737663,0,0
1657744779,0,0
1657780708,0,0
1657815709,0,0
1657827433,0,0
1657841414,0,0
1657851506,0,0
1657853745,0,0
1657868013,0,0
1657911016,0,0
1657914736,0,0
1657938194,0,0
1657991875,0,0
1658011950,0,0
1658085371,0,0
1658086263,0,0
1658101142,0,0
1658101460,0,0
1658117879,0,0
1658120793,0,0
1658149259,0,0
1658163599,0,0
1658192570,0,0
1658255570,37,37
1658255771,37,37
1658265950,37,37
1658282790,37,37
1658284116,37,37
1658341001,38,37
1658425295,38,36
1658438086,38,36
1658446145,38,36
1658446771,38,36
1658459993,38,36
1658514122,228,177
