CODE,CSC236H1-F-20229-LEC-0101,CSC236H1-F-20229-LEC-0201,CSC236H1-F-20229-LEC-0301,CSC236H1-F-20229-LEC-0401,CSC236H1-F-20229-LEC-5101
CAP,140,140,140,140,140
1656647689,0,0,0,0,0
1656655656,0,0,0,0,0
1656693722,0,0,0,0,0
1656799543,0,0,0,0,0
1657039029,0,0,0,0,0
1657124783,0,0,0,0,0
1657129900,0,0,0,0,0
1657154826,0,0,0,0,0
1657154927,0,0,0,0,0
1657157137,0,0,0,0,0
1657169424,0,0,0,0,0
1657171604,0,0,0,0,0
1657208564,0,0,0,0,0
1657224150,0,0,0,0,0
1657394888,0,0,0,0,0
1657522639,1,2,0,0,1
1657560897,1,2,0,0,1
1657592482,1,2,0,0,1
1657598158,1,2,0,0,1
1657657520,8,9,0,0,2
1657659549,8,9,0,0,2
1657678570,8,9,0,0,2
1657700365,8,9,0,0,2
1657734871,8,8,1,1,2
1657736010,8,8,1,1,2
1657737663,8,8,1,1,2
1657744779,8,8,1,1,2
1657780708,8,8,1,1,2
1657815709,8,9,0,1,2
1657827433,8,9,0,1,2
1657841414,8,9,0,1,2
1657851506,8,9,0,1,2
1657853745,8,9,0,1,2
1657868013,8,9,0,1,2
1657911016,37,30,5,8,9
1657914736,37,30,5,8,9
1657938194,37,30,5,8,9
1657991875,37,31,7,8,9
1658011950,37,31,7,8,9
1658085371,37,31,8,8,8
1658086263,37,31,8,8,8
1658101142,37,31,8,8,8
1658101460,37,31,8,8,8
1658117879,37,31,8,8,8
1658120793,37,31,8,8,8
1658149259,38,31,8,8,9
1658163599,38,31,8,8,9
1658192570,38,31,8,8,9
1658255570,161,156,109,73,40
1658255771,161,156,109,73,40
1658265950,161,156,109,73,40
1658282790,161,156,109,73,40
1658284116,161,156,109,73,40
1658341001,157,152,112,81,39
1658425295,156,149,110,87,39
1658438086,156,149,110,87,39
1658446145,156,149,110,87,39
1658446771,156,149,110,87,39
1658459993,156,149,110,87,39
1658514122,156,149,110,89,39
1658536177,156,149,110,89,39
1658552496,156,149,110,89,39
1658614184,155,150,108,93,39
1658631640,155,150,108,93,39
1658698072,155,150,108,93,39
1658768579,156,150,107,96,37
1658788810,156,150,107,96,37
1658856123,151,147,109,101,39
1658878855,151,147,109,101,39
1658879061,151,147,109,101,39
1658965224,148,145,111,107,37
1659041771,146,144,110,110,38
1659049567,146,144,110,110,38
1659055044,146,144,110,110,38
