CODE,CSC263H1-S-20229-LEC-0101,CSC263H1-S-20229-LEC-0201,CSC263H1-S-20229-LEC-0301,CSC263H1-S-20229-LEC-5101
CAP,140,140,140,140
1656647697,0,0,0,0
1656655667,0,0,0,0
1656693731,0,0,0,0
1656799552,0,0,0,0
1657039041,0,0,0,0
1657124791,0,0,0,0
1657129909,0,0,0,0
1657154834,0,0,0,0
1657154935,0,0,0,0
1657157146,0,0,0,0
1657169433,0,0,0,0
1657171616,0,0,0,0
1657208573,0,0,0,0
1657224158,0,0,0,0
1657394896,0,0,0,0
1657522648,0,0,1,0
1657560905,0,0,1,0
1657592491,0,0,1,0
1657598166,0,0,1,0
1657657537,9,4,5,1
1657659562,9,4,5,1
1657678580,9,4,5,1
1657700377,9,4,5,1
1657734892,9,4,5,1
1657736031,9,4,5,1
1657737680,9,4,5,1
1657744796,9,4,5,1
1657780717,9,4,5,1
1657815723,9,3,6,1
1657827444,9,3,6,1
1657841424,9,3,6,1
1657851524,9,3,6,1
1657853756,9,3,6,1
1657868023,9,3,6,1
1657911025,35,35,19,14
1657914749,35,35,19,14
1657938204,35,35,19,14
1657991885,36,35,21,14
1658011963,36,35,21,14
1658085387,35,34,23,14
1658086283,35,34,23,14
1658101152,35,34,23,14
1658101473,35,34,23,14
1658117893,35,34,23,14
1658120808,35,34,23,14
1658149282,35,35,23,14
1658163609,35,35,23,14
1658192584,35,35,23,14
1658255580,154,164,159,65
1658255781,154,164,159,65
1658265969,154,164,159,65
1658282799,154,164,159,65
1658284132,154,164,159,65
1658341011,152,160,157,68
1658425310,151,160,157,72
1658438101,151,160,157,72
1658446157,151,160,157,72
1658446785,151,160,157,72
1658460004,151,160,157,72
1658514131,152,160,157,73
1658536189,152,160,157,73
1658552506,152,160,157,73
1658614194,152,160,157,73
1658631652,152,160,157,73
1658698082,152,160,157,74
1658768591,151,161,157,76
1658788819,151,161,157,76
1658856132,151,158,154,81
1658878866,151,158,154,81
1658879072,151,158,154,81
