CODE,CSC299Y1-Y-20229-LEC-0101,CSC299Y1-Y-20229-LEC-0201
CAP,9999,9999
1656647691,0,0
1656655658,0,0
1656693725,0,0
1656799545,0,0
1657039032,0,0
1657124785,0,0
1657129902,0,0
1657154828,0,0
1657154929,0,0
1657157139,0,0
1657169427,0,0
1657171607,0,0
1657208567,0,0
1657224152,0,0
1657394890,0,0
1657522642,7,1
1657560899,7,1
1657592485,7,1
1657598160,7,1
1657657525,7,1
1657659552,7,1
1657678573,7,1
1657700368,7,1
1657734875,7,1
1657736016,7,1
1657737668,7,1
1657744785,7,1
1657780710,7,1
1657815712,7,1
1657827436,7,1
1657841417,7,1
1657851515,7,1
1657853748,7,1
1657868016,7,1
1657911019,6,1
1657914739,6,1
1657938197,6,1
1657991877,6,1
1658011954,6,1
1658085375,6,1
1658086268,6,1
1658101144,6,1
1658101464,6,1
1658117882,6,1
1658120797,6,1
1658149266,6,1
1658163601,6,1
1658192573,6,1
1658255573,6,1
1658255774,6,1
1658265957,6,1
1658282792,6,1
1658284123,6,1
1658341004,6,1
1658425299,6,1
1658438090,6,1
1658446148,6,1
1658446775,6,1
1658459996,6,1
1658514124,6,1
1658536180,6,1
1658552499,6,1
1658614187,6,1
1658631643,6,1
1658698075,6,1
1658768582,6,1
1658788813,6,1
1658856126,6,1
1658878858,6,1
1658879064,6,1
1658965226,6,1
1659041774,6,1
1659049569,6,1
1659055046,6,1
1659106104,6,1
1659116092,6,1
1659126300,6,1
1659137075,6,1
1659154614,6,1
1659160556,6,1
1659197512,6,1
1659228143,6,1
1659229850,6,1
1659252433,6,1
1659298086,6,1
