CODE,CSC300H1-F-20229-LEC-0101,CSC300H1-F-20229-LEC-0201
CAP,125,125
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,5,0
1657560897,5,0
1657592482,5,0
1657598158,5,0
1657657520,43,33
1657659549,43,33
1657678570,43,33
1657700365,43,33
1657734871,45,33
1657736010,45,33
1657737663,45,33
1657744779,45,33
1657780708,45,33
1657815709,47,33
1657827433,47,33
1657841414,47,33
1657851506,47,33
1657853745,47,33
1657868013,47,33
1657911016,96,69
1657914736,96,69
1657938194,96,69
1657991875,95,69
1658011950,95,69
1658085371,95,69
1658086263,95,69
1658101142,95,69
1658101460,95,69
1658117879,95,69
1658120793,95,69
1658149259,96,70
1658163599,96,70
1658192570,96,70
1658255570,104,89
1658255771,104,89
1658265950,104,89
1658282790,104,89
1658284116,104,89
1658341001,104,94
1658425295,107,94
1658438086,107,94
1658446145,107,94
1658446771,107,94
1658459993,107,94
1658514122,108,95
1658536177,108,95
1658552496,108,95
1658614184,109,95
1658631640,109,95
1658698072,109,95
1658768579,109,94
1658788810,109,94
1658856123,110,93
1658878855,110,93
1658879061,110,93
1658965224,111,91
1659041771,111,89
1659049567,111,89
1659055044,111,89
1659106101,109,89
1659116089,109,89
1659126296,109,89
1659137072,109,89
1659154611,109,89
1659160554,109,89
1659197509,173,173
1659228141,173,173
1659229848,173,173
1659252431,173,173
1659298084,179,175
