CODE,CSC343H1-S-20229-LEC-0101,CSC343H1-S-20229-LEC-0201,CSC343H1-S-20229-LEC-0301,CSC343H1-S-20229-LEC-2001,CSC343H1-S-20229-LEC-2101,CSC343H1-S-20229-LEC-2201,CSC343H1-S-20229-LEC-2501,CSC343H1-S-20229-LEC-5101
CAP,72,72,72,53,53,53,54,71
1656647697,0,0,0,0,0,0,0,0
1656655667,0,0,0,0,0,0,0,0
1656693731,0,0,0,0,0,0,0,0
1656799552,0,0,0,0,0,0,0,0
1657039041,0,0,0,0,0,0,0,0
1657124791,0,0,0,0,0,0,0,0
1657129909,0,0,0,0,0,0,0,0
1657154834,0,0,0,0,0,0,0,0
1657154935,0,0,0,0,0,0,0,0
1657157146,0,0,0,0,0,0,0,0
1657169433,0,0,0,0,0,0,0,0
1657171616,0,0,0,0,0,0,0,0
1657208573,0,0,0,0,0,0,0,0
1657224158,0,0,0,0,0,0,0,0
1657394896,0,0,0,0,0,0,0,0
1657522648,1,1,0,42,49,42,42,0
1657560905,1,1,0,42,49,41,42,0
1657592491,1,1,0,42,49,41,42,0
1657598166,1,1,0,42,49,41,42,0
1657657537,20,13,10,43,49,39,42,14
1657659562,20,13,10,43,49,39,42,14
1657678580,20,13,10,43,49,39,42,14
1657700377,20,13,10,43,49,39,42,14
1657734892,20,14,10,52,43,34,41,14
1657736031,20,14,10,52,43,34,41,14
1657737680,20,14,10,52,43,34,41,14
1657744796,20,14,10,52,43,34,41,14
1657780717,20,14,10,52,43,34,41,14
1657815723,21,14,9,82,73,66,86,15
1657827444,21,14,9,82,73,66,86,15
1657841424,21,14,9,82,73,66,86,15
1657851524,21,14,9,82,73,66,86,15
1657853756,21,14,9,82,73,66,86,15
1657868023,21,14,9,82,73,66,86,15
1657911025,47,35,45,83,73,67,86,37
1657914749,47,35,45,83,73,67,86,37
1657938204,47,35,45,83,73,67,86,37
1657991885,47,35,45,83,74,67,86,37
1658011963,47,35,45,83,74,67,86,37
1658085387,47,34,45,84,74,67,85,38
1658086283,47,34,45,84,74,67,85,38
1658101152,47,34,45,84,74,67,85,38
1658101473,47,34,45,84,74,67,85,38
1658117893,47,34,45,84,74,67,85,38
1658120808,47,34,45,84,74,67,85,38
1658149282,47,34,45,85,75,69,86,39
1658163609,47,34,45,85,75,69,86,39
1658192584,47,34,45,85,75,69,86,39
1658255580,59,48,73,85,74,68,85,48
1658255781,59,48,73,85,74,68,85,48
1658265969,59,48,73,85,74,68,85,48
1658282799,59,48,73,85,74,68,85,48
1658284132,59,48,73,85,74,68,85,48
1658341011,59,48,72,85,74,68,87,48
1658425310,60,48,72,84,74,68,87,49
1658438101,60,48,72,84,74,68,87,49
1658446157,60,48,72,84,74,68,87,49
1658446785,60,48,72,84,74,68,87,49
1658460004,60,48,72,84,74,68,87,49
1658514131,62,47,72,84,74,68,87,50
1658536189,62,47,72,84,74,68,87,50
1658552506,62,47,72,84,74,68,87,50
1658614194,63,48,73,84,74,68,87,49
1658631652,63,48,73,84,74,68,87,49
1658698082,63,48,73,84,74,68,87,49
1658768591,64,48,73,85,74,68,87,49
1658788819,64,48,73,85,74,68,87,49
1658856132,64,51,72,85,74,68,87,50
1658878866,64,51,72,85,74,68,87,50
1658879072,64,51,72,85,74,68,87,50
1658965232,65,51,72,85,74,68,87,50
1659041782,65,52,72,85,74,68,86,51
1659049575,65,52,72,85,74,68,86,51
1659055055,65,52,72,85,74,68,86,51
