CODE,CSC367H1-S-20229-LEC-0101
CAP,125
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,1
1657560905,1
1657592491,1
1657598166,1
1657657537,69
1657659562,69
1657678580,69
1657700377,69
1657734892,73
1657736031,73
1657737680,73
1657744796,73
1657780717,73
1657815723,74
1657827444,74
1657841424,74
1657851524,74
1657853756,74
1657868023,74
1657911025,165
1657914749,165
1657938204,165
1657991885,163
1658011963,163
1658085387,165
1658086283,165
1658101152,165
1658101473,165
1658117893,165
1658120808,165
1658149282,165
1658163609,165
1658192584,165
1658255580,166
1658255781,166
1658265969,166
1658282799,166
1658284132,166
1658341011,166
1658425310,166
1658438101,166
1658446157,166
1658446785,166
1658460004,166
1658514131,166
