CODE,CSC369H1-F-20229-LEC-0101,CSC369H1-F-20229-LEC-0201,CSC369H1-F-20229-LEC-5101
CAP,125,-1,125
1656647689,0,-2,0
1656655656,0,-2,0
1656693722,0,-2,0
1656799543,0,-2,0
1657039029,0,-2,0
1657124783,0,-2,0
1657129900,0,-2,0
1657154826,0,-2,0
1657154927,0,-2,0
1657157137,0,-2,0
1657169424,0,-2,0
1657171604,0,-2,0
1657208564,0,-2,0
1657224150,0,-2,0
1657394888,0,-2,0
1657522639,5,-2,0
1657560897,5,-2,0
1657592482,5,-2,0
1657598158,5,-2,0
1657657520,77,-2,50
1657659549,77,-2,50
1657678570,77,-2,50
1657700365,77,-2,50
1657734871,77,-2,52
1657736010,77,-2,52
1657737663,77,-2,52
1657744779,77,-2,52
1657780708,77,-2,52
1657815709,76,-2,53
1657827433,76,-2,53
1657841414,76,-2,53
1657851506,76,-2,53
1657853745,76,-2,53
1657868013,76,-2,53
1657911016,157,-2,152
1657914736,157,-2,152
1657938194,157,-2,152
1657991875,157,-2,153
1658011950,157,-2,153
1658085371,159,-2,155
1658086263,159,-2,155
1658101142,159,-2,155
1658101460,159,-2,155
1658117879,159,-2,155
1658120793,159,-2,155
1658149259,161,-2,156
1658163599,161,-2,156
1658192570,161,-2,156
1658255570,165,-2,159
1658255771,165,-2,159
1658265950,165,-2,159
1658282790,165,-2,159
1658284116,165,-2,159
1658341001,167,-2,159
1658425295,167,-2,159
1658438086,167,-2,159
1658446145,167,-2,159
1658446771,167,-2,159
1658459993,167,-2,159
1658514122,167,-2,159
