CODE,CSC384H1-F-20229-LEC-0101,CSC384H1-F-20229-LEC-0201,CSC384H1-F-20229-LEC-2001,CSC384H1-F-20229-LEC-2101
CAP,95,95,30,30
1656647689,0,0,0,0
1656655656,0,0,0,0
1656693722,0,0,0,0
1656799543,0,0,0,0
1657039029,0,0,0,0
1657124783,0,0,0,0
1657129900,0,0,0,0
1657154826,0,0,0,0
1657154927,0,0,0,0
1657157137,0,0,0,0
1657169424,0,0,0,0
1657171604,0,0,0,0
1657208564,0,0,0,0
1657224150,0,0,0,0
1657394888,0,0,0,0
1657522639,5,3,1,25
1657560897,5,3,1,25
1657592482,5,3,1,25
1657598158,5,3,1,25
1657657520,34,43,3,25
1657659549,34,43,3,25
1657678570,34,43,3,25
1657700365,34,43,3,25
1657734871,35,43,4,24
1657736010,35,43,4,24
1657737663,35,43,4,24
1657744779,35,43,4,24
1657780708,35,43,4,24
1657815709,33,42,51,51
1657827433,33,42,51,51
1657841414,33,42,51,51
1657851506,33,42,51,51
1657853745,33,42,51,51
1657868013,33,42,51,51
1657911016,62,102,52,52
1657914736,62,102,52,52
1657938194,62,102,52,52
1657991875,63,102,53,53
1658011950,63,102,53,53
1658085371,64,102,53,53
1658086263,64,102,53,53
1658101142,64,102,53,53
1658101460,64,102,53,53
1658117879,64,102,53,53
1658120793,64,102,53,53
1658149259,65,102,53,53
1658163599,65,102,53,53
1658192570,65,102,53,53
1658255570,72,102,53,53
1658255771,72,102,53,53
1658265950,72,102,53,53
1658282790,72,102,53,53
1658284116,72,102,53,53
1658341001,72,102,53,52
1658425295,72,102,54,52
1658438086,72,102,54,52
1658446145,72,102,54,52
1658446771,72,102,54,52
1658459993,72,102,54,52
1658514122,72,103,54,52
1658536177,72,103,54,52
1658552496,72,103,54,52
1658614184,72,103,54,52
1658631640,72,103,54,52
1658698072,76,101,53,52
1658768579,77,100,53,52
1658788810,77,100,53,52
1658856123,76,100,53,52
1658878855,76,100,53,52
1658879061,76,100,53,52
1658965224,76,98,52,50
1659041771,75,100,53,51
1659049567,75,100,53,51
1659055044,75,100,53,51
1659106101,75,100,52,47
1659116089,75,100,52,47
1659126296,75,100,52,47
1659137072,75,100,52,47
1659154611,75,100,52,47
1659160554,75,100,52,47
1659197509,82,102,51,46
1659228141,82,102,51,46
1659229848,82,102,51,46
1659252431,82,102,51,46
1659298084,83,102,51,46
