CODE,CSC412H1-S-20229-LEC-0101,CSC412H1-S-20229-LEC-0201,CSC412H1-S-20229-LEC-2001
CAP,51,70,14
1656647697,0,0,0
1656655667,0,0,0
1656693731,0,0,0
1656799552,0,0,0
1657039041,0,0,0
1657124791,0,0,0
1657129909,0,0,0
1657154834,0,0,0
1657154935,0,0,0
1657157146,0,0,0
1657169433,0,0,0
1657171616,0,0,0
1657208573,0,0,0
1657224158,0,0,0
1657394896,0,0,0
1657522648,0,0,0
1657560905,0,0,0
1657592491,0,0,0
1657598166,0,0,0
1657657537,55,72,0
1657659562,55,72,0
1657678580,55,72,0
1657700377,55,72,0
1657734892,55,70,2
1657736031,55,70,2
1657737680,55,70,2
1657744796,55,70,2
1657780717,55,70,2
1657815723,56,70,21
1657827444,56,70,21
1657841424,56,70,21
1657851524,56,70,21
1657853756,56,70,21
1657868023,56,70,21
1657911025,82,100,21
1657914749,82,100,21
1657938204,82,100,21
1657991885,82,100,21
1658011963,82,100,21
1658085387,82,99,21
1658086283,82,99,21
1658101152,82,99,21
1658101473,82,99,21
1658117893,82,99,21
1658120808,82,99,21
1658149282,82,99,21
1658163609,82,99,21
1658192584,82,99,21
1658255580,83,100,21
1658255781,83,100,21
1658265969,83,100,21
1658282799,83,100,21
1658284132,83,100,21
1658341011,83,100,21
1658425310,83,100,20
1658438101,83,100,20
1658446157,83,100,20
1658446785,83,100,20
1658460004,83,100,20
1658514131,83,100,20
1658536189,83,100,20
1658552506,83,100,20
1658614194,83,100,20
1658631652,83,100,20
1658698082,83,100,20
1658768591,83,101,20
1658788819,83,101,20
1658856132,80,98,20
1658878866,80,98,20
1658879072,80,98,20
