CODE,CSC488H1-S-20229-LEC-0101,CSC488H1-S-20229-LEC-2001
CAP,60,10
1656647697,0,0
1656655667,0,0
1656693731,0,0
1656799552,0,0
1657039041,0,0
1657124791,0,0
1657129909,0,0
1657154834,0,0
1657154935,0,0
1657157146,0,0
1657169433,0,0
1657171616,0,0
1657208573,0,0
1657224158,0,0
1657394896,0,0
1657522648,0,0
1657560905,0,0
1657592491,0,0
1657598166,0,0
1657657537,57,0
1657659562,57,0
1657678580,57,0
1657700377,57,0
1657734892,59,0
1657736031,59,0
1657737680,59,0
1657744796,59,0
1657780717,59,0
1657815723,59,2
1657827444,59,2
1657841424,59,2
1657851524,59,2
1657853756,59,2
1657868023,59,2
1657911025,62,2
1657914749,62,2
1657938204,62,2
1657991885,62,2
1658011963,62,2
1658085387,62,2
1658086283,62,2
1658101152,62,2
1658101473,62,2
1658117893,62,2
1658120808,62,2
1658149282,62,2
1658163609,62,2
1658192584,62,2
1658255580,62,2
1658255781,62,2
1658265969,62,2
1658282799,62,2
1658284132,62,2
1658341011,62,2
1658425310,62,2
1658438101,62,2
1658446157,62,2
1658446785,62,2
1658460004,62,2
1658514131,62,2
1658536189,62,2
1658552506,62,2
1658614194,62,2
1658631652,62,2
1658698082,62,2
1658768591,63,2
1658788819,63,2
1658856132,65,2
1658878866,65,2
1658879072,65,2
1658965232,65,2
1659041782,65,2
1659049575,65,2
1659055055,65,2
1659106110,65,2
1659116097,65,2
1659126308,65,2
1659137081,65,2
1659154622,65,2
1659160562,65,2
1659197518,66,2
1659228149,66,2
1659229856,66,2
1659252439,66,2
1659298092,67,2
