CODE,CSE240H1-F-20229-LEC-0101,CSE240H1-F-20229-LEC-2000
CAP,240,20
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,1,0
1657560897,1,0
1657592482,1,0
1657598158,1,0
1657657520,17,0
1657659549,17,0
1657678570,17,0
1657700365,17,0
1657734871,16,0
1657736010,16,0
1657737663,16,0
1657744779,16,0
1657780708,16,0
1657815709,15,0
1657827433,15,0
1657841414,15,0
1657851506,15,0
1657853745,15,0
1657868013,15,0
1657911016,35,0
1657914736,35,0
1657938194,35,0
1657991875,35,0
1658011950,35,0
1658085371,35,0
1658086263,35,0
1658101142,35,0
1658101460,35,0
1658117879,35,0
1658120793,35,0
1658149259,35,0
1658163599,35,0
1658192570,35,0
1658255570,115,0
1658255771,115,0
1658265950,115,0
1658282790,115,0
1658284116,115,0
1658341001,116,0
1658425295,117,0
1658438086,117,0
1658446145,117,0
1658446771,117,0
1658459993,117,0
1658514122,154,0
1658536177,154,0
1658552496,154,0
1658614184,155,0
1658631640,155,0
1658698072,156,0
1658768579,155,0
1658788810,155,0
1658856123,156,0
1658878855,156,0
1658879061,156,0
