CODE,DTS300H1-S-20229-LEC-0101
CAP,75
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,25
1657659562,25
1657678580,25
1657700377,25
1657734892,26
1657736031,26
1657737680,26
1657744796,26
1657780717,26
1657815723,27
1657827444,27
1657841424,27
1657851524,27
1657853756,27
1657868023,27
1657911025,69
1657914749,69
1657938204,69
1657991885,70
1658011963,70
1658085387,70
1658086283,70
1658101152,70
1658101473,70
1658117893,70
1658120808,70
1658149282,71
1658163609,71
1658192584,71
1658255580,82
1658255781,82
1658265969,82
1658282799,82
1658284132,82
1658341011,82
1658425310,83
1658438101,83
1658446157,83
1658446785,83
1658460004,83
1658514131,83
1658536189,83
1658552506,83
1658614194,83
1658631652,83
1658698082,83
1658768591,84
1658788819,84
1658856132,84
1658878866,84
1658879072,84
1658965232,85
1659041782,85
1659049575,85
1659055055,85
1659106110,85
1659116097,85
1659126308,85
1659137081,85
1659154622,85
1659160562,85
1659197518,85
1659228149,85
1659229856,85
1659252439,85
1659298092,86
