CODE,EAS100Y1-Y-20229-LEC-0101
CAP,75
1656647691,0
1656655658,0
1656693725,0
1656799545,0
1657039032,0
1657124785,0
1657129902,0
1657154828,0
1657154929,0
1657157139,0
1657169427,0
1657171607,0
1657208567,0
1657224152,0
1657394890,0
1657522642,0
1657560899,0
1657592485,0
1657598160,0
1657657525,1
1657659552,1
1657678573,1
1657700368,1
1657734875,1
1657736016,1
1657737668,1
1657744785,1
1657780710,1
1657815712,1
1657827436,1
1657841417,1
1657851515,1
1657853748,1
1657868016,1
1657911019,1
1657914739,1
1657938197,1
1657991877,1
1658011954,1
1658085375,1
1658086268,1
1658101144,1
1658101464,1
1658117882,1
1658120797,1
1658149266,1
1658163601,1
1658192573,1
1658255573,5
1658255774,5
1658265957,5
1658282792,5
1658284123,5
1658341004,5
1658425299,5
1658438090,5
1658446148,5
1658446775,5
1658459996,5
1658514124,31
1658536180,31
1658552499,31
1658614187,32
1658631643,32
1658698075,32
1658768582,31
1658788813,31
1658856126,33
1658878858,33
1658879064,33
1658965226,33
1659041774,35
1659049569,35
1659055046,35
1659106104,35
1659116092,35
1659126300,35
1659137075,35
1659154614,35
1659160556,35
1659197512,50
1659228143,50
1659229850,50
1659252433,50
1659298086,51
