CODE,EAS103H1-F-20229-LEC-5101
CAP,325
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,1
1657560897,1
1657592482,1
1657598158,1
1657657520,4
1657659549,4
1657678570,4
1657700365,4
1657734871,3
1657736010,3
1657737663,3
1657744779,3
1657780708,3
1657815709,3
1657827433,3
1657841414,3
1657851506,3
1657853745,3
1657868013,3
1657911016,22
1657914736,22
1657938194,22
1657991875,23
1658011950,23
1658085371,23
1658086263,23
1658101142,23
1658101460,23
1658117879,23
1658120793,23
1658149259,25
1658163599,25
1658192570,25
1658255570,95
1658255771,95
1658265950,95
1658282790,95
1658284116,95
1658341001,96
1658425295,99
1658438086,99
1658446145,99
1658446771,99
1658459993,99
1658514122,248
