CODE,EAS110Y1-Y-20229-LEC-0101,EAS110Y1-Y-20229-LEC-0201,EAS110Y1-Y-20229-LEC-0301,EAS110Y1-Y-20229-LEC-0401
CAP,50,50,50,50
1656647691,0,0,0,0
1656655658,0,0,0,0
1656693725,0,0,0,0
1656799545,0,0,0,0
1657039032,0,0,0,0
1657124785,0,0,0,0
1657129902,0,0,0,0
1657154828,0,0,0,0
1657154929,0,0,0,0
1657157139,0,0,0,0
1657169427,0,0,0,0
1657171607,0,0,0,0
1657208567,0,0,0,0
1657224152,0,0,0,0
1657394890,0,0,0,0
1657522642,0,0,0,0
1657560899,0,0,0,0
1657592485,0,0,0,0
1657598160,0,0,0,0
1657657525,4,0,0,6
1657659552,4,0,0,6
1657678573,4,0,0,6
1657700368,4,0,0,6
1657734875,4,0,0,7
1657736016,4,0,0,7
1657737668,4,0,0,7
1657744785,4,0,0,7
1657780710,4,0,0,7
1657815712,4,0,0,7
1657827436,4,0,0,7
1657841417,4,0,0,7
1657851515,4,0,0,7
1657853748,4,0,0,7
1657868016,4,0,0,7
1657911019,6,4,0,10
1657914739,6,4,0,10
1657938197,6,4,0,10
1657991877,6,4,0,9
1658011954,6,4,0,9
1658085375,6,4,0,10
1658086268,6,4,0,10
1658101144,6,4,0,10
1658101464,6,4,0,10
1658117882,6,4,0,10
1658120797,6,4,0,10
1658149266,6,4,0,10
1658163601,6,4,0,10
1658192573,6,4,0,10
1658255573,15,8,3,15
1658255774,15,8,3,15
1658265957,15,8,3,15
1658282792,15,8,3,15
1658284123,15,8,3,15
1658341004,16,8,3,16
1658425299,16,8,3,16
1658438090,16,8,3,16
1658446148,16,8,3,16
1658446775,16,8,3,16
1658459996,16,8,3,16
1658514124,71,62,57,72
1658536180,71,62,57,72
1658552499,71,62,57,72
1658614187,72,62,58,73
1658631643,72,62,58,73
1658698075,73,61,56,70
1658768582,74,61,56,70
1658788813,74,61,56,70
1658856126,73,61,55,70
1658878858,73,61,55,70
1658879064,73,61,55,70
1658965226,72,60,53,69
1659041774,73,61,54,69
1659049569,73,61,54,69
1659055046,73,61,54,69
1659106104,57,50,50,53
1659116092,57,50,50,53
1659126300,57,50,50,53
1659137075,57,50,50,53
1659154614,57,50,50,53
1659160556,57,50,50,53
1659197512,106,103,100,103
1659228143,106,103,100,103
1659229850,106,103,100,103
1659252433,106,103,100,103
1659298086,107,105,101,104
