CODE,EAS120Y1-Y-20229-LEC-0101,EAS120Y1-Y-20229-LEC-0201,EAS120Y1-Y-20229-LEC-0202,EAS120Y1-Y-20229-LEC-0203,EAS120Y1-Y-20229-LEC-0301,EAS120Y1-Y-20229-LEC-0302
CAP,50,50,50,50,50,50
1656647691,0,0,0,0,0,0
1656655658,0,0,0,0,0,0
1656693725,0,0,0,0,0,0
1656799545,0,0,0,0,0,0
1657039032,0,0,0,0,0,0
1657124785,0,0,0,0,0,0
1657129902,0,0,0,0,0,0
1657154828,0,0,0,0,0,0
1657154929,0,0,0,0,0,0
1657157139,0,0,0,0,0,0
1657169427,0,0,0,0,0,0
1657171607,0,0,0,0,0,0
1657208567,0,0,0,0,0,0
1657224152,0,0,0,0,0,0
1657394890,0,0,0,0,0,0
1657522642,0,0,0,0,0,0
1657560899,0,0,0,0,0,0
1657592485,0,0,0,0,0,0
1657598160,0,0,0,0,0,0
1657657525,7,2,2,1,3,3
1657659552,7,2,2,1,3,3
1657678573,7,2,2,1,3,3
1657700368,7,2,2,1,3,3
1657734875,7,2,2,1,4,3
1657736016,7,2,2,1,4,3
1657737668,7,2,2,1,4,3
1657744785,7,2,2,1,4,3
1657780710,7,2,2,1,4,3
1657815712,7,3,2,1,4,3
1657827436,7,3,2,1,4,3
1657841417,7,3,2,1,4,3
1657851515,7,3,2,1,4,3
1657853748,7,3,2,1,4,3
1657868016,7,3,2,1,4,3
1657911019,10,9,3,5,8,5
1657914739,10,9,3,5,8,5
1657938197,10,9,3,5,8,5
1657991877,10,9,3,5,8,5
1658011954,10,9,3,5,8,5
1658085375,10,9,3,5,8,5
1658086268,10,9,3,5,8,5
1658101144,10,9,3,5,8,5
1658101464,10,9,3,5,8,5
1658117882,10,9,3,5,8,5
1658120797,10,9,3,5,8,5
1658149266,10,9,3,5,8,5
1658163601,10,9,3,5,8,5
1658192573,10,9,3,5,8,5
1658255573,18,19,12,7,20,14
1658255774,18,19,12,7,20,14
1658265957,18,19,12,7,20,14
1658282792,18,19,12,7,20,14
1658284123,18,19,12,7,20,14
1658341004,18,20,11,7,20,15
1658425299,18,19,11,5,20,16
1658438090,18,19,11,5,20,16
1658446148,18,19,11,5,20,16
1658446775,18,19,11,5,20,16
1658459996,18,19,11,5,20,16
1658514124,72,75,67,57,86,77
1658536180,72,75,67,57,86,77
1658552499,72,75,67,57,86,77
1658614187,73,75,65,56,85,77
1658631643,73,75,65,56,85,77
1658698075,71,74,66,56,86,78
1658768582,70,74,65,56,85,77
1658788813,70,74,65,56,85,77
1658856126,71,74,65,57,85,77
1658878858,71,74,65,57,85,77
1658879064,71,74,65,57,85,77
