CODE,EAS121H1-S-20229-LEC-0101,EAS121H1-S-20229-LEC-0201,EAS121H1-S-20229-LEC-0202,EAS121H1-S-20229-LEC-0203,EAS121H1-S-20229-LEC-0301,EAS121H1-S-20229-LEC-0302
CAP,6,6,6,6,6,6
1656647697,0,0,0,0,0,0
1656655667,0,0,0,0,0,0
1656693731,0,0,0,0,0,0
1656799552,0,0,0,0,0,0
1657039041,0,0,0,0,0,0
1657124791,0,0,0,0,0,0
1657129909,0,0,0,0,0,0
1657154834,0,0,0,0,0,0
1657154935,0,0,0,0,0,0
1657157146,0,0,0,0,0,0
1657169433,0,0,0,0,0,0
1657171616,0,0,0,0,0,0
1657208573,0,0,0,0,0,0
1657224158,0,0,0,0,0,0
1657394896,0,0,0,0,0,0
1657522648,0,0,0,0,0,0
1657560905,0,0,0,0,0,0
1657592491,0,0,0,0,0,0
1657598166,0,0,0,0,0,0
1657657537,0,0,0,0,0,0
1657659562,0,0,0,0,0,0
1657678580,0,0,0,0,0,0
1657700377,0,0,0,0,0,0
1657734892,0,0,0,0,0,0
1657736031,0,0,0,0,0,0
1657737680,0,0,0,0,0,0
1657744796,0,0,0,0,0,0
1657780717,0,0,0,0,0,0
1657815723,0,0,0,0,0,0
1657827444,0,0,0,0,0,0
1657841424,0,0,0,0,0,0
1657851524,0,0,0,0,0,0
1657853756,0,0,0,0,0,0
1657868023,0,0,0,0,0,0
1657911025,0,0,0,0,0,0
1657914749,0,0,0,0,0,0
1657938204,0,0,0,0,0,0
1657991885,0,0,0,0,0,0
1658011963,0,0,0,0,0,0
1658085387,0,0,0,0,0,0
1658086283,0,0,0,0,0,0
1658101152,0,0,0,0,0,0
1658101473,0,0,0,0,0,0
1658117893,0,0,0,0,0,0
1658120808,0,0,0,0,0,0
1658149282,0,0,0,0,0,0
1658163609,0,0,0,0,0,0
1658192584,0,0,0,0,0,0
1658255580,0,0,0,0,0,0
1658255781,0,0,0,0,0,0
1658265969,0,0,0,0,0,0
1658282799,0,0,0,0,0,0
1658284132,0,0,0,0,0,0
1658341011,0,0,0,0,0,0
1658425310,0,0,0,0,0,0
1658438101,0,0,0,0,0,0
1658446157,0,0,0,0,0,0
1658446785,0,0,0,0,0,0
1658460004,0,0,0,0,0,0
1658514131,0,0,0,0,0,0
1658536189,0,0,0,0,0,0
1658552506,0,0,0,0,0,0
1658614194,0,0,0,0,0,0
1658631652,0,0,0,0,0,0
1658698082,0,0,0,0,0,0
1658768591,0,0,0,0,0,0
1658788819,0,0,0,0,0,0
1658856132,0,0,0,0,0,0
1658878866,0,0,0,0,0,0
1658879072,0,0,0,0,0,0
1658965232,0,0,0,0,0,0
1659041782,0,0,0,0,0,0
1659049575,0,0,0,0,0,0
1659055055,0,0,0,0,0,0
