CODE,ECO200Y1-Y-20229-LEC-0101,ECO200Y1-Y-20229-LEC-0201,ECO200Y1-Y-20229-LEC-0301,ECO200Y1-Y-20229-LEC-0401,ECO200Y1-Y-20229-LEC-5101
CAP,155,155,155,155,155
1656647691,0,0,0,0,0
1656655658,0,0,0,0,0
1656693725,0,0,0,0,0
1656799545,0,0,0,0,0
1657039032,0,0,0,0,0
1657124785,0,0,0,0,0
1657129902,0,0,0,0,0
1657154828,0,0,0,0,0
1657154929,0,0,0,0,0
1657157139,0,0,0,0,0
1657169427,0,0,0,0,0
1657171607,0,0,0,0,0
1657208567,0,0,0,0,0
1657224152,0,0,0,0,0
1657394890,0,0,0,0,0
1657522642,0,0,0,0,0
1657560899,0,0,0,0,0
1657592485,0,0,0,0,0
1657598160,0,0,0,0,0
1657657525,1,0,1,2,1
1657659552,1,0,1,2,1
1657678573,1,0,1,2,1
1657700368,1,0,1,2,1
1657734875,1,0,1,2,1
1657736016,1,0,1,2,1
1657737668,1,0,1,2,1
1657744785,1,0,1,2,1
1657780710,1,0,1,2,1
1657815712,1,0,1,2,1
1657827436,1,0,1,2,1
1657841417,1,0,1,2,1
1657851515,1,0,1,2,1
1657853748,1,0,1,2,1
1657868016,1,0,1,2,1
1657911019,10,9,9,15,12
1657914739,10,9,9,15,12
1657938197,10,9,9,15,12
1657991877,10,9,9,15,12
1658011954,10,9,9,15,12
1658085375,11,9,9,15,12
1658086268,11,9,9,15,12
1658101144,11,9,9,15,12
1658101464,11,9,9,15,12
1658117882,11,9,9,15,12
1658120797,11,9,9,15,12
1658149266,11,9,9,15,12
1658163601,11,9,9,15,12
1658192573,11,9,9,15,12
1658255573,55,36,43,101,66
1658255774,55,36,43,101,66
1658265957,55,36,43,101,66
1658282792,55,36,43,101,66
1658284123,55,36,43,101,66
1658341004,53,37,44,102,66
1658425299,54,37,43,103,66
1658438090,54,37,43,103,66
1658446148,54,37,43,103,66
1658446775,54,37,43,103,66
1658459996,54,37,43,103,66
1658514124,54,37,43,103,67
