CODE,ECO306H1-S-20229-LEC-0101
CAP,80
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,1
1657560905,1
1657592491,1
1657598166,1
1657657537,37
1657659562,37
1657678580,37
1657700377,37
1657734892,38
1657736031,38
1657737680,38
1657744796,38
1657780717,38
1657815723,40
1657827444,40
1657841424,40
1657851524,40
1657853756,40
1657868023,40
1657911025,75
1657914749,75
1657938204,75
1657991885,76
1658011963,76
1658085387,75
1658086283,75
1658101152,75
1658101473,75
1658117893,75
1658120808,75
1658149282,76
1658163609,76
1658192584,76
1658255580,76
1658255781,76
1658265969,76
1658282799,76
1658284132,76
1658341011,77
1658425310,79
1658438101,79
1658446157,79
1658446785,79
1658460004,79
1658514131,80
1658536189,80
1658552506,80
1658614194,80
1658631652,80
1658698082,80
1658768591,80
1658788819,80
1658856132,80
1658878866,80
1658879072,80
1658965232,81
1659041782,81
1659049575,81
1659055055,81
1659106110,81
1659116097,81
1659126308,81
1659137081,81
1659154622,81
1659160562,81
1659197518,86
1659228149,86
1659229856,86
1659252439,86
1659298092,85
