CODE,ECO310H1-F-20229-LEC-0101
CAP,100
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,4
1657560897,4
1657592482,4
1657598158,4
1657657520,13
1657659549,13
1657678570,13
1657700365,13
1657734871,13
1657736010,13
1657737663,13
1657744779,13
1657780708,13
1657815709,15
1657827433,15
1657841414,15
1657851506,15
1657853745,15
1657868013,15
1657911016,41
1657914736,41
1657938194,41
1657991875,40
1658011950,40
1658085371,40
1658086263,40
1658101142,40
1658101460,40
1658117879,40
1658120793,40
1658149259,40
1658163599,40
1658192570,40
1658255570,44
1658255771,44
1658265950,44
1658282790,44
1658284116,44
1658341001,44
1658425295,44
1658438086,44
1658446145,44
1658446771,44
1658459993,44
1658514122,45
