CODE,ECO333H1-F-20229-LEC-0101,ECO333H1-F-20229-LEC-0201,ECO333H1-F-20229-LEC-5101
CAP,150,150,150
1656647689,0,0,0
1656655656,0,0,0
1656693722,0,0,0
1656799543,0,0,0
1657039029,0,0,0
1657124783,0,0,0
1657129900,0,0,0
1657154826,0,0,0
1657154927,0,0,0
1657157137,0,0,0
1657169424,0,0,0
1657171604,0,0,0
1657208564,0,0,0
1657224150,0,0,0
1657394888,0,0,0
1657522639,1,3,1
1657560897,1,3,1
1657592482,1,3,1
1657598158,1,3,1
1657657520,106,102,23
1657659549,106,102,23
1657678570,106,102,23
1657700365,106,102,23
1657734871,107,100,25
1657736010,107,100,25
1657737663,107,100,25
1657744779,107,100,25
1657780708,107,100,25
1657815709,108,103,28
1657827433,108,103,28
1657841414,108,103,28
1657851506,108,103,28
1657853745,108,103,28
1657868013,108,103,28
1657911016,181,188,147
1657914736,181,188,147
1657938194,181,188,147
1657991875,183,190,154
1658011950,183,190,154
1658085371,183,191,160
1658086263,183,191,160
1658101142,183,191,160
1658101460,183,191,160
1658117879,183,191,160
1658120793,183,191,160
1658149259,183,191,160
1658163599,183,191,160
1658192570,183,191,160
1658255570,189,195,169
1658255771,189,195,169
1658265950,189,195,169
1658282790,189,195,169
1658284116,189,195,169
1658341001,189,197,171
1658425295,189,198,172
1658438086,189,198,172
1658446145,189,198,172
1658446771,189,198,172
1658459993,189,198,172
1658514122,188,197,172
