CODE,ECO364H1-S-20229-LEC-0101,ECO364H1-S-20229-LEC-0201
CAP,175,175
1656647697,0,0
1656655667,0,0
1656693731,0,0
1656799552,0,0
1657039041,0,0
1657124791,0,0
1657129909,0,0
1657154834,0,0
1657154935,0,0
1657157146,0,0
1657169433,0,0
1657171616,0,0
1657208573,0,0
1657224158,0,0
1657394896,0,0
1657522648,2,1
1657560905,2,1
1657592491,2,1
1657598166,2,1
1657657537,30,25
1657659562,30,25
1657678580,30,25
1657700377,30,25
1657734892,32,25
1657736031,32,25
1657737680,32,25
1657744796,32,25
1657780717,32,25
1657815723,32,26
1657827444,32,26
1657841424,32,26
1657851524,32,26
1657853756,32,26
1657868023,32,26
1657911025,94,68
1657914749,94,68
1657938204,94,68
1657991885,94,67
1658011963,94,67
1658085387,93,68
1658086283,93,68
1658101152,93,68
1658101473,93,68
1658117893,93,68
1658120808,93,68
1658149282,95,67
1658163609,95,67
1658192584,95,67
1658255580,97,69
1658255781,97,69
1658265969,97,69
1658282799,97,69
1658284132,97,69
1658341011,97,69
1658425310,100,69
1658438101,100,69
1658446157,100,69
1658446785,100,69
1658460004,100,69
1658514131,97,69
1658536189,97,69
1658552506,97,69
1658614194,98,70
1658631652,98,70
1658698082,97,70
1658768591,97,70
1658788819,97,70
1658856132,98,70
1658878866,98,70
1658879072,98,70
1658965232,97,70
1659041782,97,71
1659049575,97,71
1659055055,97,71
1659106110,96,70
1659116097,96,70
1659126308,96,70
1659137081,96,70
1659154622,96,70
1659160562,96,70
1659197518,104,78
1659228149,104,78
1659229856,104,78
1659252439,104,78
1659298092,104,78
