CODE,ECO365H1-F-20229-LEC-0101,ECO365H1-F-20229-LEC-5101
CAP,150,150
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,10,4
1657560897,10,4
1657592482,10,4
1657598158,10,4
1657657520,86,34
1657659549,86,34
1657678570,86,34
1657700365,86,34
1657734871,90,34
1657736010,90,34
1657737663,90,34
1657744779,90,34
1657780708,90,34
1657815709,92,35
1657827433,92,35
1657841414,92,35
1657851506,92,35
1657853745,92,35
1657868013,92,35
1657911016,167,103
1657914736,167,103
1657938194,167,103
1657991875,168,103
1658011950,168,103
1658085371,168,106
1658086263,168,106
1658101142,168,106
1658101460,168,106
1658117879,168,106
1658120793,168,106
1658149259,168,106
1658163599,168,106
1658192570,168,106
1658255570,169,108
1658255771,169,108
1658265950,169,108
1658282790,169,108
1658284116,169,108
1658341001,169,108
1658425295,168,109
1658438086,168,109
1658446145,168,109
1658446771,168,109
1658459993,168,109
1658514122,167,111
1658536177,167,111
1658552496,167,111
1658614184,166,113
1658631640,166,113
1658698072,166,114
1658768579,166,116
1658788810,166,116
1658856123,166,117
1658878855,166,117
1658879061,166,117
1658965224,166,117
1659041771,166,120
1659049567,166,120
1659055044,166,120
1659106101,165,119
1659116089,165,119
1659126296,165,119
1659137072,165,119
1659154611,165,119
1659160554,165,119
1659197509,166,131
1659228141,166,131
1659229848,166,131
1659252431,166,131
1659298084,167,131
