CODE,EDS261H1-S-20229-LEC-0101
CAP,50
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,1
1657659562,1
1657678580,1
1657700377,1
1657734892,1
1657736031,1
1657737680,1
1657744796,1
1657780717,1
1657815723,1
1657827444,1
1657841424,1
1657851524,1
1657853756,1
1657868023,1
1657911025,10
1657914749,10
1657938204,10
1657991885,10
1658011963,10
1658085387,10
1658086283,10
1658101152,10
1658101473,10
1658117893,10
1658120808,10
1658149282,10
1658163609,10
1658192584,10
1658255580,48
1658255781,48
1658265969,48
1658282799,48
1658284132,48
1658341011,49
1658425310,50
1658438101,50
1658446157,50
1658446785,50
1658460004,50
1658514131,50
1658536189,50
1658552506,50
1658614194,50
1658631652,50
1658698082,50
1658768591,50
1658788819,50
1658856132,50
1658878866,50
1658879072,50
1658965232,50
1659041782,50
1659049575,50
1659055055,50
1659106110,50
1659116097,50
1659126308,50
1659137081,50
1659154622,50
1659160562,50
1659197518,50
1659228149,50
1659229856,50
1659252439,50
1659298092,50
